step,loss,best_loss,elapsed_sec
0,29.174457550048828,29.174457550048828,0.001969291130080819
100,0.48834139108657837,0.48834139108657837,0.21096108318306506
200,0.3417176604270935,0.3417176604270935,0.41962741618044674
300,0.19568613171577454,0.19568613171577454,0.634384916163981
400,0.19565242528915405,0.19565215706825256,0.8150362910237163
500,0.19565224647521973,0.1956520974636078,0.9845886251423508
600,0.19565224647521973,0.1956520974636078,1.1589227500371635
700,0.19565224647521973,0.1956520974636078,1.324135250179097
800,0.19565251469612122,0.1956520974636078,1.4918962081428617
900,0.1956523209810257,0.1956520974636078,1.657495416002348
1000,0.1956523358821869,0.1956520974636078,1.8229683751706034
1100,0.19565235078334808,0.1956520974636078,1.9898616659920663
1200,0.19565239548683167,0.1956520974636078,2.164910958148539
1300,0.19565227627754211,0.1956520974636078,2.330434458097443
1400,0.1956523358821869,0.1956520974636078,2.4954780410043895
1499,0.19565227627754211,0.1956520974636078,2.6574344581458718
