dimension,n_bases,seed,dtype,best_loss,near_exact_pairs_primary,unitarity_residual_max,total_elapsed_seconds
6,2,1234,complex128,1.5430550714430534e-30,1,3.690685908788291e-15,1.3738949298858643
6,3,1234,complex128,0.051249218996283694,0,3.606461032715111e-15,1.6360552310943604
6,4,1234,complex128,0.05124921899628364,3,4.208675672866341e-15,2.4428348541259766
6,5,1234,complex128,0.3596384948824875,0,5.520699070077766e-15,4.4784159660339355
6,6,1234,complex128,0.9659325022155344,0,3.791527762354271e-15,5.208341836929321
6,7,1234,complex128,1.5844721331309435,0,8.67842370422566e-15,6.339496850967407
