step,loss,best_loss,elapsed_sec
0,14.556557655334473,14.556557655334473,0.0015869168564677238
100,0.122919961810112,0.122919961810112,0.15188229200430214
200,0.0012505024205893278,0.0011933792848140001,0.3187600839883089
300,4.632588712638608e-08,4.632588712638608e-08,0.46604283386841416
400,2.290168055196773e-12,2.290168055196773e-12,0.6137024168856442
500,7.700506898800086e-13,5.411227022023013e-13,0.7333842089865357
600,6.425970866530406e-13,4.374278717023117e-13,0.8505633338354528
700,6.625811010962934e-13,4.374278717023117e-13,0.9652307918295264
800,9.79438752324313e-13,4.2077452633293433e-13,1.0823764170054346
900,5.520028878436278e-13,4.2077452633293433e-13,1.1963837498333305
1000,5.111466805374221e-13,4.2077452633293433e-13,1.328352958895266
1100,7.536193891155563e-13,4.2077452633293433e-13,1.44395179185085
1200,5.837552663479073e-13,4.2077452633293433e-13,1.557989708846435
1300,8.242295734817162e-13,4.2077452633293433e-13,1.6736355838365853
1400,5.060396546241464e-13,4.2077452633293433e-13,1.7869579589460045
1499,9.894307595459395e-13,3.8902214782865485e-13,1.9028905839659274
