step,loss,best_loss,elapsed_sec
0,72.3950870523706,72.3950870523706,0.0031069160904735327
100,2.4897442498478766,2.4897442498478766,0.3572421660646796
200,1.7083327328881421,1.7083327328881421,0.6949134999886155
300,1.2160316851212185,1.2160316851212185,1.0318639159668237
400,1.2143110090496019,1.2143110090496019,1.3793885831255466
500,1.2130217717403171,1.2130217717403171,1.715743208071217
600,1.1947641250634,1.1947641250634,2.04836658295244
700,1.1789687990094362,1.1789687990094362,2.4012003331445158
800,1.1737634153940748,1.1737634153940748,2.736967083066702
900,1.1732643664955205,1.1732643664955205,3.0734512079507113
1000,1.1731954982604846,1.1731954982604846,3.4205643329769373
1100,1.1731828421734,1.1731828421734,3.7587766661308706
1200,1.1731803237547849,1.1731803237547849,4.093079125043005
1300,1.1731798347027285,1.1731798347027285,4.44357500015758
1400,1.1731797469812955,1.1731797469812955,4.779175500152633
1500,1.1731797328977818,1.1731797328977818,5.113242458086461
1600,1.1731797309130785,1.1731797309130785,5.457415375160053
1700,1.1731797306708818,1.1731797306708818,5.794744958169758
1800,1.1731797306455674,1.1731797306455674,6.130663916002959
1900,1.1731797306433234,1.1731797306433234,6.471415875013918
1999,1.1731797306431586,1.1731797306431582,6.785433290991932
