step,loss,best_loss,elapsed_sec
0,48.43101433543346,48.43101433543346,0.0027947500348091125
100,1.1161159427618275,1.1161159427618275,0.30450433399528265
200,0.7137269535744694,0.7137269535744694,0.6244415421970189
300,0.6708242718587206,0.6708242718587206,0.9138217500876635
400,0.6657065062617724,0.6657065062617724,1.186511917039752
500,0.663992589235189,0.663992589235189,1.4541562090162188
600,0.6634028844312778,0.6634028844312778,1.721452625002712
700,0.6632651876990222,0.6632651876990222,2.0026530001778156
800,0.663242366754637,0.663242366754637,2.268054584041238
900,0.6632394537304679,0.6632394537304679,2.5364446251187474
1000,0.6632391582310969,0.6632391582310969,2.8015760420821607
1100,0.6632391344042105,0.6632391344042105,3.0826085000298917
1200,0.663239132889964,0.663239132889964,3.3499606251716614
1300,0.6632391328150471,0.6632391328150471,3.6200252501294017
1400,0.6632391328122041,0.6632391328122041,3.8843262922018766
1500,0.6632391328121245,0.663239132812123,4.140720792114735
1600,0.6632391328121223,0.66323913281212,4.355845417128876
1700,0.6632391328121214,0.66323913281212,4.567011125152931
1800,0.6632391328121221,0.66323913281212,4.778482916997746
1900,0.6632391328121223,0.66323913281212,4.991367500042543
1999,0.6632391328121222,0.66323913281212,5.21363358409144
