step,loss,best_loss,elapsed_sec
0,14.50639890350721,14.50639890350721,0.003282708115875721
100,0.01552342373804854,0.01552342373804854,0.16679208306595683
200,6.522435231406902e-07,6.522435231406902e-07,0.31550704105757177
300,1.687243122113023e-11,1.687243122113023e-11,0.4618315000552684
400,4.651294090609081e-16,4.651294090609081e-16,0.6171337910927832
500,1.5244859186238505e-20,1.5244859186238505e-20,0.7821172080002725
600,3.806540646363821e-25,2.4086946992335783e-25,0.9211472910828888
700,1.8320986374966897e-29,1.8320986374966897e-29,1.0661509581841528
800,6.042797793509391e-30,4.766291426369531e-30,1.179854708025232
900,5.067506869671695e-30,4.688483856616287e-30,1.2918920409865677
1000,5.964990223756147e-30,4.112245617255626e-30,1.4047261250671
1100,6.391776299432358e-30,4.112245617255626e-30,1.516202124999836
1200,7.415600657868613e-30,4.112245617255626e-30,1.6236206660978496
1300,6.297020546168506e-30,3.9550897337936275e-30,1.7351179160177708
1400,5.293225859153879e-30,3.9550897337936275e-30,1.8459783331491053
1499,7.286948537583546e-30,3.9550897337936275e-30,1.957268875092268
