step,loss,best_loss,elapsed_sec
0,14.450638346439643,14.450638346439643,0.001435000216588378
100,0.1494956054242243,0.1494956054242243,0.135969459079206
200,1.3825581290781623e-05,1.3825581290781623e-05,0.2759045420680195
300,4.6545192433562593e-10,4.6545192433562593e-10,0.5182730841916054
400,1.0419743490434088e-14,1.0419743490434088e-14,0.6686869591940194
500,4.020982290873722e-19,4.020982290873722e-19,0.8116092921700329
600,1.0925246299574514e-23,1.0925246299574514e-23,0.9514763751067221
700,4.766430093325527e-28,4.061493511361134e-28,1.1210870000068098
800,7.806949622568099e-30,7.086651823367273e-30,1.248510167002678
900,7.901705375831951e-30,5.9673013396894116e-30,1.3786780841182917
1000,9.192848810549154e-30,5.9673013396894116e-30,1.4895274171140045
1100,9.997117155325264e-30,5.57518200301217e-30,1.6063014171086252
1200,6.834740186641423e-30,5.179210806446155e-30,1.7233565840870142
1300,8.960966845244931e-30,4.258616293029056e-30,1.898601292166859
1400,5.904901209491265e-30,4.258616293029056e-30,2.0118814590387046
1499,8.465617663548534e-30,4.258616293029056e-30,2.1245868750847876
