step,loss,best_loss,elapsed_sec
0,14.735785484313965,14.735785484313965,0.0036144168116152287
100,0.04197610914707184,0.04197610914707184,0.16985762491822243
200,0.0001028487749863416,0.0001028487749863416,0.3173251668922603
300,7.760183507343754e-06,7.760183507343754e-06,0.47224216698668897
400,3.807131179200951e-07,3.807131179200951e-07,0.6253329578321427
500,1.0326950850014782e-08,1.0326950850014782e-08,0.7767202078830451
600,1.4805823234098625e-10,1.4805823234098625e-10,0.930381374899298
700,2.2459811788166917e-12,2.1824764218081327e-12,1.0758427078835666
800,1.2359002710127243e-12,9.29256671611256e-13,1.213398874970153
900,1.3342660309945131e-12,9.190426197847046e-13,1.3287621669005603
1000,1.1375345110309354e-12,9.190426197847046e-13,1.4483236668165773
1100,1.2938539128981574e-12,8.641976023682219e-13,1.56404083292
1200,9.35473920549157e-13,8.208989044078407e-13,1.6805182918906212
1300,1.0016432128168162e-12,8.208989044078407e-13,1.7962825000286102
1400,1.276534433714005e-12,8.208989044078407e-13,1.9142413749359548
1499,1.070477040343576e-12,8.208989044078407e-13,2.028191125020385
