step,loss,best_loss,elapsed_sec
0,102.03601611488423,102.03601611488423,0.005832666996866465
100,3.869343628842633,3.869343628842633,0.4271982500795275
200,3.0734107121230485,3.0734107121230485,0.8407759999390692
300,2.4559101710257387,2.4559101710257387,1.2589947499800473
400,1.779975725683932,1.779975725683932,1.6840138749685138
500,1.5980862813060188,1.5980862813060188,2.2248628749512136
600,1.5853671244415992,1.5853671244415992,2.64641020889394
700,1.5844728612686583,1.5844728612686583,3.0742722500581294
800,1.5844721331932237,1.5844721331932237,3.5125052500516176
900,1.584472133130951,1.5844721331309457,3.901411708910018
1000,1.5844721331309461,1.5844721331309448,4.350976791931316
1100,1.5844721331309475,1.5844721331309435,4.708839334081858
1200,1.5844721331309486,1.5844721331309435,5.051968167070299
1300,1.5844721331309488,1.5844721331309435,5.409959124866873
1400,1.5844721331309484,1.5844721331309435,5.75650337501429
1499,1.5844721331309488,1.5844721331309435,6.129061458865181
