step,loss,best_loss,elapsed_sec
0,28.988719573757933,28.988719573757933,0.002051415853202343
100,0.2663042902083344,0.2663042902083344,0.20691516599617898
200,0.05126668581517229,0.05126668581517229,0.4240470000077039
300,0.051249235274958074,0.051249235274958074,0.6300948329735547
400,0.051249218996638854,0.051249218996638854,0.8345147499348968
500,0.0512492189962839,0.05124921899628374,1.020143250003457
600,0.05124921899628384,0.05124921899628365,1.2400902498047799
700,0.0512492189962837,0.05124921899628365,1.4036963749676943
800,0.051249218996283805,0.05124921899628365,1.5785382078029215
900,0.05124921899628374,0.05124921899628365,1.7410954998340458
1000,0.05124921899628375,0.05124921899628365,1.905465791001916
1100,0.05124921899628375,0.05124921899628365,2.0660663328599185
1200,0.05124921899628372,0.05124921899628365,2.2265163329429924
1300,0.05124921899628379,0.05124921899628365,2.388865874847397
1400,0.05124921899628383,0.05124921899628365,2.560679957969114
1499,0.051249218996283825,0.05124921899628365,2.7195071659516543
