step,loss,best_loss,elapsed_sec
0,29.260537869473847,29.260537869473847,0.0021147499792277813
100,0.5728951664360169,0.5728951664360169,0.2072207499295473
200,0.39994980338717484,0.39994980338717484,0.4149757500272244
300,0.26835387268491384,0.26835387268491384,0.6179710829164833
400,0.26205382859520565,0.26205382859520565,0.8351362498942763
500,0.2619503626579049,0.2619503626579049,1.040713458089158
600,0.26194871212073956,0.26194871212073956,1.2485809999052435
700,0.2619487077170171,0.2619487077170171,1.464793249964714
800,0.26194870771427425,0.2619487077142742,1.6658748330082744
900,0.261948707714274,0.2619487077142736,1.8384747500531375
1000,0.2619487077142741,0.2619487077142734,2.001688666874543
1100,0.2619487077142736,0.2619487077142733,2.162798458011821
1200,0.2619487077142737,0.2619487077142733,2.3235845419112593
1300,0.2619487077142739,0.2619487077142733,2.4849519170820713
1400,0.26194870771427387,0.2619487077142733,2.644724207930267
1499,0.2619487077142739,0.2619487077142733,2.80749158305116
