step,loss,best_loss,elapsed_sec
0,4.89473776736165,4.89473776736165,0.0011782078072428703
100,6.659714058260064e-05,6.659714058260064e-05,0.09403724991716444
200,1.7826580419063468e-09,1.7826580419063468e-09,0.18523241695947945
300,7.124715508770667e-14,7.124715508770667e-14,0.2712975419126451
400,2.084194888686544e-18,2.084194888686544e-18,0.38744354201480746
500,5.944013295940287e-23,5.944013295940287e-23,0.48007991700433195
600,1.2139521625461625e-27,1.2139521625461625e-27,0.5624346248805523
700,2.8118577188053643e-30,1.6285663609738466e-30,0.6426025419496
800,2.975176578089402e-30,1.5430550714430534e-30,0.7133582499809563
900,2.6215758402999054e-30,1.5430550714430534e-30,0.7911272079218179
1000,3.1307917175958906e-30,1.5430550714430534e-30,0.9201534579042345
1100,2.917398679757785e-30,1.5430550714430534e-30,0.9952257080003619
1200,2.895828264380648e-30,1.5430550714430534e-30,1.0678337498102337
1300,3.191651103838527e-30,1.5430550714430534e-30,1.1433687079697847
1400,2.9659321143563432e-30,1.5430550714430534e-30,1.2275834169704467
1499,3.0344952203765288e-30,1.5430550714430534e-30,1.3087992498185486
