step,current_loss,best_loss,elapsed_seconds
0,28.988719573757933,28.988719573757933,0.0017144160810858011
100,0.2663042902083344,0.2663042902083344,0.17215729085728526
200,0.05126668581517229,0.05126668581517229,0.33961120806634426
300,0.051249235274958074,0.051249235274958074,0.5063623748719692
400,0.051249218996638854,0.051249218996638854,0.6993387499824166
500,0.0512492189962839,0.05124921899628374,0.8771896250545979
600,0.05124921899628384,0.05124921899628365,1.0334334999788553
700,0.0512492189962837,0.05124921899628365,1.1964302500709891
800,0.051249218996283805,0.05124921899628365,1.3621714999899268
900,0.05124921899628374,0.05124921899628365,1.5298710828647017
1000,0.05124921899628375,0.05124921899628365,1.691497332882136
1100,0.05124921899628375,0.05124921899628365,1.8486123329494148
1200,0.05124921899628372,0.05124921899628365,1.9881505828816444
1300,0.05124921899628379,0.05124921899628365,2.1259758749511093
1400,0.05124921899628383,0.05124921899628365,2.2643760829232633
1499,0.051249218996283825,0.05124921899628365,2.4013632079586387
