step,loss,best_loss,elapsed_sec
0,14.587121054727536,14.587121054727536,0.0015661250799894333
100,0.1655860916886,0.1655860916886,0.19268875010311604
200,8.962388149070785e-05,8.962388149070785e-05,0.3401273749768734
300,2.9133653352117147e-07,2.9133653352117147e-07,0.48573933308944106
400,1.6880419296510364e-10,1.6880419296510364e-10,0.6301083329599351
500,3.2125085448865027e-15,3.2125085448865027e-15,0.7754886669572443
600,1.3785160275493654e-19,1.3785160275493654e-19,0.918555208016187
700,3.3444331564856196e-24,3.3444331564856196e-24,1.0619234580080956
800,4.044529920410971e-29,4.044529920410971e-29,1.210554749937728
900,8.660521773920522e-30,8.660521773920522e-30,1.3301858329214156
1000,1.0170450850320115e-29,7.765349535769335e-30,1.4438548749312758
1100,8.592729039878091e-30,7.765349535769335e-30,1.5604501669295132
1200,8.717529300274384e-30,7.028873925035656e-30,1.69843591703102
1300,8.96712982106697e-30,7.028873925035656e-30,1.8326999170240015
1400,9.29761939952382e-30,6.577435946071288e-30,1.9532906669192016
1499,1.0906156089076039e-29,6.577435946071288e-30,2.0668540420010686
