step,loss,best_loss,elapsed_sec
0,72.98155011046931,72.98155011046931,0.003312499960884452
100,2.0298960256232927,2.0298960256232927,0.3369727919343859
200,1.5650267642017373,1.5650267642017373,0.6680214998777956
300,1.1303915775147098,1.1303915775147098,1.0120414169505239
400,1.1122160003498203,1.1122160003498203,1.3456339589320123
500,1.1108053325249216,1.1108053325249216,1.677634916966781
600,1.1105522062426885,1.1105522062426885,2.0236448338255286
700,1.1105222427927746,1.1105222427927746,2.3532588339876384
800,1.1105203163214512,1.1105203163214512,2.6851608748547733
900,1.1105202377787644,1.1105202377787644,3.039694166975096
1000,1.110520235659095,1.110520235659095,3.387535249814391
1100,1.1105202356215733,1.1105202356215733,3.7287558750249445
1200,1.110520235621151,1.1105202356211494,4.064920749980956
1300,1.1105202356211483,1.1105202356211448,4.341392667032778
1400,1.1105202356211472,1.1105202356211448,4.6782640418969095
1500,1.1105202356211459,1.1105202356211443,4.963977749925107
1600,1.1105202356211492,1.1105202356211443,5.235689249821007
1700,1.110520235621147,1.1105202356211443,5.5165192920248955
1800,1.1105202356211479,1.1105202356211443,5.787047334015369
1900,1.110520235621147,1.1105202356211443,6.085715083871037
1999,1.110520235621147,1.1105202356211443,6.362023708876222
