step,loss,best_loss,elapsed_sec
0,14.499797821044922,14.499797821044922,0.0014957080129534006
100,0.15846219658851624,0.15846219658851624,0.1502025001682341
200,0.11201415956020355,0.11201415956020355,0.3132702501025051
300,0.0002780271752271801,0.0002780271752271801,0.458587208064273
400,4.652877396438271e-05,4.652877396438271e-05,0.6115349580068141
500,1.2826290003431495e-05,1.2826290003431495e-05,0.7673246250487864
600,3.6344476939120796e-06,3.6344476939120796e-06,0.9224266670644283
700,9.432309298063046e-07,9.432309298063046e-07,1.073567874962464
800,2.1426943419555755e-07,2.1426943419555755e-07,1.2292034169659019
900,4.193025304743969e-08,4.193025304743969e-08,1.3957679171580821
1000,6.995576562474071e-09,6.995576562474071e-09,1.5501284580677748
1100,9.901572894932542e-10,9.901572894932542e-10,1.7027888330630958
1200,1.2004108818075565e-10,1.2004108818075565e-10,1.8515477920882404
1300,1.3214762617508313e-11,1.3214762617508313e-11,1.9982314170338213
1400,2.594369163944066e-12,2.391420395042587e-12,2.128255750052631
1499,1.5654144647214707e-12,1.2390088954816747e-12,2.246900875121355
